,product_name,allergens_tags,additives_tags,nutriscore_score,nutriscore_grade,pnns_groups_1,pnns_groups_2,main_category,energy-kj_100g,energy-kcal_100g,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,omega-6-fat_100g,omega-9-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,starch_100g,polyols_100g,fiber_100g,proteins_100g,casein_100g,serum-proteins_100g,salt_100g,sodium_100g,alcohol_100g,vitamin-a_100g,beta-carotene_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,folates_100g,vitamin-b12_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g
1789,agrumi di calabria,0,0,5.0,c,Beverages,Fruit juices,en:concentrated-multifruit-juices,0.0,46.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525,aktiv flakes,"en:gluten,en:milk","en:e101,en:e500,en:e500ii",13.0,d,unknown,unknown,it:cereali-per-colazione,0.0,378.0,1582.0,0.0,1.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.3,14.4,0.0,0.0,0.0,12.5,0.0,0.0,1.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
713,albicocca,0,0,1.0,b,unknown,unknown,en:juices-and-nectars,0.0,36.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363,albicocca ricoperta di cioccolato extra fondente,0,0,2.0,b,Fruits and vegetables,Fruits,en:apricots,0.0,309.0,1293.0,0.0,3.6,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,52.7,0.0,0.0,7.3,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,albume d'uovo da allevamento a terra,0,0,-4.0,a,unknown,unknown,it:albume,189.0,44.0,189.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.4,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1687,alimentazione dedicata,en:gluten,0,-6.0,a,unknown,unknown,en:flours,1397.0,334.0,1397.0,0.0,1.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.8,0.0,0.0,12.0,18.0,0.0,0.0,0.03,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427,almond drink with calcium,0,0,0.0,b,Beverages,Plant-based milk substitutes,en:almond-milks,176.0,43.0,176.0,0.0,3.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.5,0.8,0.0,0.0,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,almond vanilla ice cream coated with milk chocolate and almonds,"en:milk,en:nuts,en:soybeans","en:e160a,en:e322,en:e407,en:e410,en:e412,en:e471,en:e476",19.0,e,Milk and dairy products,Ice cream,en:ice-cream-bars,0.0,332.0,1389.0,0.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,27.0,0.0,0.0,0.0,4.9,0.0,0.0,0.16,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2099,alpro mandorla,0,"en:e101,en:e322,en:e418",6.0,d,Beverages,Sweetened beverages,en:unsweetened-beverages,0.0,24.0,100.0,0.0,1.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.2,0.5,0.0,0.0,0.14,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,alpro piú frutta zero zuccheri aggiunti - mango,0,0,-1.0,a,Sugary snacks,Sweets,en:soy-milk-yogurts,0.0,61.0,255.0,0.0,2.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,5.6,0.0,0.0,0.0,3.7,0.0,0.0,0.21,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
