product_name,categoria,packaging_tags,categories_tags,labels_tags,allergens_tags,additives_n,additives_tags,nutriscore_score,nutriscore_grade,nova_group,pnns_groups_1,pnns_groups_2,main_category,energy_100g,fat_100g,saturated-fat_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin-a_100g,vitamin-d_100g,vitamin-e_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,vitamin-b12_100g,pantothenic-acid_100g,potassium_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,iodine_100g
contorno vignarola,Verdura,"carta,c-pap-81","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:frozen-foods,en:vegetables-based-foods,en:frozen-plant-based-foods,en:frozen-vegetables","en:100-natural,en:fsc,en:fsc-mix,en:no-colorings,en:no-flavors,en:no-flavour-enhancer",0,0.0,0,-10.0,a,3.0,fruits-and-vegetables,vegetables,en:frozen-vegetables,235.0,0.5,0.1,0.0,0.0,0.0,6.7,2.9,4.8,3.8,0.46,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coppa nostrana,Carne,0,"en:meats,en:prepared-meats,en:capicola,it:salumi",en:gluten-free,0,3.0,"en:e250,en:e252,en:e301",24.0,e,4.0,Fish Meat Eggs,Processed meat,it:salumi,1435.0,29.2,13.7,0.0,0.0,0.0,0.4,0.1,0.0,19.7,3.9,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coppa stagionata,Carne,0,"en:meats,en:prepared-meats,en:capicola",0,0,0.0,0,23.0,e,0.0,Fish Meat Eggs,Processed meat,en:capicola,1368.0,25.0,9.4,0.0,0.0,0.0,0.5,0.5,0.0,25.0,4.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cordon bleu pollo,Carne,0,"en:meats,en:meat-preparations,en:breaded-products,fr:cordons-bleus",0,0,0.0,0,11.0,d,0.0,Fish Meat Eggs,Meat,fr:cordons-bleus,967.0,13.0,2.7,0.0,0.0,0.0,17.0,1.2,0.0,10.0,1.7,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cotechino cotto,Carne,scatola-cartone,"en:meats,en:prepared-meats","en:no-gluten,en:pgi",0,2.0,"en:e250,en:e301",17.0,d,4.0,Fish Meat Eggs,Processed meat,en:prepared-meats,1121.0,20.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cotoletta di merluzzo nordico,Pesce,0,en:meats,en:halal,en:gluten,1.0,en:e301,4.0,c,4.0,Fish Meat Eggs,Meat,en:meats,941.0,13.0,2.2,0.0,0.0,0.0,12.0,0.6,0.0,15.0,1.3,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cotolette di filetti di pollo surgelato,Carne,0,"en:meats,en:meat-preparations,en:poultries,en:breaded-products,en:chickens,en:cooked-poultries,en:chicken-preparations,en:breaded-chicken,en:breaded-chicken-cutlets,en:chicken-cutlets",0,0,0.0,0,4.0,c,0.0,Fish Meat Eggs,Meat,en:chicken-cutlets,873.0,13.0,2.2,0.0,0.0,0.0,12.0,0.5,0.0,14.0,1.3,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cotolette di merluzzo e spinaci,Pesce,0,"en:seafood,en:fishes,en:frozen-foods,en:frozen-seafood,en:frozen-fishes",0,"en:gluten,en:milk",1.0,en:e471,11.0,d,4.0,Fish Meat Eggs,Fish and seafood,en:frozen-fishes,1050.0,11.2,1.7,0.0,0.0,0.0,28.1,2.1,0.0,8.7,1.63,0.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crauti al naturale,Verdura,"metallo,acc","en:plant-based-foods-and-beverages,en:plant-based-foods,en:canned-foods,en:fruits-and-vegetables-based-foods,en:canned-plant-based-foods,en:meals,en:vegetables-based-foods,en:canned-vegetables,en:sauerkrauts",0,0,0.0,0,-1.0,a,3.0,Fruits and vegetables,Vegetables,en:sauerkrauts,75.0,0.2,0.1,0.0,0.0,0.0,1.0,0.9,0.0,1.4,0.98,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
croccanti di filetti di merluzzo,Pesce,0,"en:seafood,en:fishes",0,0,0.0,0,2.0,b,0.0,Fish Meat Eggs,Fish and seafood,en:fishes,753.0,8.2,0.9,0.0,0.0,0.0,13.4,1.1,0.0,12.8,1.24,0.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
